"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Marvin Harrison Jr.","WR","ARI","55","46","52","54","44","8","48","60","43","43","bye","55","72","60","54","57","66","48","865","50.9"
"Dalton Schultz","TE","HOU","63","44","64","65","67","57","50","47","56","48","48","46","43","bye","47","48","40","32","865","50.9"
"Bijan Robinson","RB","ATL","50","46","50","36","58","39","50","42","42","61","42","bye","61","63","44","50","58","69","861","50.6"
"Wan'Dale Robinson","WR","NYG","48","35","43","45","59","64","49","62","47","49","bye","49","48","77","52","55","36","39","857","50.4"
"Cade Otton","TE","TB","55","48","52","73","53","62","80","68","54","57","bye","53","75","60","66","0","0","0","856","61.1"
"Keenan Allen","WR","CHI","38","0","0","41","61","53","bye","61","69","56","66","68","64","47","55","59","58","54","850","56.7"
"Hunter Henry","TE","NE","54","57","33","50","56","47","52","57","60","57","67","57","56","bye","41","61","30","0","835","52.2"
"Zay Flowers","WR","BAL","71","58","42","39","64","49","42","59","30","52","51","50","68","bye","48","54","41","14","832","48.9"
"CeeDee Lamb","WR","DAL","45","58","71","47","66","49","bye","55","64","50","66","62","51","58","51","33","0","0","826","55.1"
"Jameson Williams","WR","DET","52","78","48","51","bye","51","43","0","0","48","51","60","55","55","69","54","56","55","826","55.1"
"Michael Wilson","WR","ARI","49","45","53","50","42","55","44","46","41","39","bye","48","67","59","52","63","69","0","822","51.4"
"Brian Thomas Jr.","WR","JAC","41","44","52","44","37","49","40","29","49","38","45","bye","61","47","74","60","49","62","821","48.3"
"Jordan Addison","WR","MIN","28","0","0","45","65","bye","51","46","67","62","44","67","50","45","66","59","65","58","818","54.5"
"Alec Pierce","WR","IND","38","53","43","55","52","62","49","50","48","55","56","40","44","bye","35","0","73","64","817","51.1"
"George Kittle","TE","SF","66","51","0","59","58","57","58","64","bye","57","0","41","48","52","52","63","60","22","808","53.9"
"Tyler Conklin","TE","NYJ","46","53","67","68","59","46","49","50","45","45","47","bye","56","54","0","53","53","14","805","50.3"
"Saquon Barkley","RB","PHI","61","64","58","32","bye","49","35","50","57","35","58","50","49","44","49","61","49","0","801","50.1"
"DeVonta Smith","WR","PHI","76","71","55","0","bye","62","53","57","76","49","63","0","0","52","74","61","52","0","801","61.6"
"Jaylen Waddle","WR","MIA","51","55","51","43","61","bye","59","56","52","47","53","52","65","59","26","0","0","63","793","52.9"
"Davante Adams","WR","Multi","58","59","61","0","0","0","55","58","45","56","48","0","66","58","54","67","48","59","792","56.6"
"Pat Freiermuth","TE","PIT","50","38","55","53","46","58","48","43","bye","45","45","44","46","40","30","41","45","49","776","45.6"
"George Pickens","WR","PIT","46","51","50","60","34","45","54","53","bye","63","69","62","63","0","0","0","68","56","774","55.3"
"Nick Westbrook-Ikhine","WR","TEN","12","10","13","17","bye","13","34","70","75","54","50","60","55","60","64","55","69","60","771","45.4"
"Zach Ertz","TE","WAS","42","47","38","49","38","47","40","56","30","49","53","53","55","bye","18","48","55","53","771","45.4"
"Rashod Bateman","WR","BAL","67","53","39","37","49","47","45","57","35","49","49","37","29","bye","45","50","28","50","766","45.1"
"Grant Calcaterra","TE","PHI","36","28","27","27","bye","57","47","57","73","42","37","40","27","53","74","66","52","23","766","45.1"
"A.J. Brown","WR","PHI","72","0","0","0","bye","57","51","50","37","50","69","65","54","55","73","74","59","0","766","58.9"
"Tyler Lockett","WR","SEA","36","57","36","64","49","61","36","40","71","bye","47","41","30","43","45","44","36","29","765","45.0"
"Kayshon Boutte","WR","NE","0","0","18","15","40","55","50","55","66","62","73","60","71","bye","45","64","41","45","760","50.7"
"Xavier Worthy","WR","KC","34","44","37","45","56","bye","42","38","58","51","32","47","42","57","61","59","53","1","757","44.5"
"Foster Moreau","TE","NO","51","47","40","42","28","34","42","57","63","44","51","bye","46","49","35","27","44","52","752","44.2"
"D'Andre Swift","RB","CHI","39","46","48","38","50","45","bye","46","46","40","41","42","46","42","46","47","40","49","751","44.2"
"Ladd McConkey","WR","LAC","38","34","33","43","bye","49","57","41","48","46","49","59","29","0","46","51","61","51","735","45.9"
"Bryce Young","QB","CAR","54","48","0","0","9","0","3","61","53","60","bye","62","70","71","55","68","47","67","728","52.0"
"Van Jefferson","WR","PIT","49","54","11","60","47","43","42","53","bye","55","43","18","43","48","35","47","32","41","721","42.4"
"Mack Hollins","WR","BUF","36","32","46","36","33","46","41","35","45","65","41","bye","38","46","35","42","38","66","721","42.4"
"Breece Hall","RB","NYJ","42","41","52","51","53","55","47","46","44","47","43","bye","42","0","28","53","31","45","720","45.0"
"Russell Wilson","QB","PIT","0","0","0","0","0","0","68","66","bye","78","75","62","67","65","42","60","75","61","719","65.4"
"Tua Tagovailoa","QB","MIA","71","55","0","0","0","bye","0","65","61","53","68","66","71","72","68","67","0","0","717","65.2"
"Chuba Hubbard","RB","CAR","32","28","43","52","39","54","36","45","42","53","bye","55","55","69","52","57","0","0","712","47.5"
"Kyle Pitts","TE","ATL","54","45","42","38","74","45","55","30","31","40","44","bye","33","58","23","30","30","35","707","41.6"
"Jonathan Taylor","RB","IND","43","29","49","48","0","0","0","52","39","53","63","53","55","bye","52","47","68","56","707","50.5"
"De'Von Achane","RB","MIA","37","47","45","44","11","bye","40","38","42","37","42","36","49","60","45","50","32","49","704","41.4"
"Tony Pollard","RB","TEN","39","44","34","39","bye","43","65","62","66","29","37","63","40","40","31","24","0","45","701","43.8"
"Aaron Jones Sr.","RB","MIN","30","33","38","56","16","bye","43","46","55","44","39","56","28","38","47","54","37","40","700","41.2"
"Juwan Johnson","TE","NO","23","24","28","50","42","54","51","32","51","31","34","bye","49","49","40","41","46","52","697","41.0"
"Jauan Jennings","WR","SF","35","38","60","36","36","34","0","0","bye","58","60","45","46","45","51","60","60","25","689","45.9"
"Chase Brown","RB","CIN","17","13","15","27","22","33","32","28","59","71","68","bye","50","59","64","55","73","0","686","42.9"
"Jayden Reed","WR","GB","48","39","36","59","45","39","43","41","44","bye","26","36","36","25","38","40","45","45","685","40.3"
"Theo Johnson","TE","NYG","61","44","58","49","56","70","52","70","55","69","bye","43","56","0","0","0","0","0","683","56.9"
"Mark Andrews","TE","BAL","59","41","21","26","43","34","32","50","28","55","37","27","53","bye","39","47","35","55","682","40.1"
"Drake Maye","QB","NE","0","0","16","0","0","66","60","20","69","64","76","69","71","bye","51","73","43","3","681","52.4"
"Xavier Legette","WR","CAR","35","20","44","61","22","51","36","38","44","59","bye","58","67","62","23","0","32","28","680","42.5"
"DeMario Douglas","WR","NE","39","38","43","38","40","41","20","38","49","27","43","47","45","bye","31","43","49","48","679","39.9"
"Josh Jacobs","RB","GB","49","47","33","46","44","46","39","45","36","bye","37","38","42","40","48","28","40","20","678","39.9"
"Daniel Jones","QB","NYG","71","56","72","69","72","79","46","72","65","75","bye","0","0","0","0","0","0","0","677","67.7"
"Jahan Dotson","WR","PHI","32","56","63","49","bye","22","38","26","42","30","29","50","36","24","36","47","30","64","674","39.6"
"Mike Evans","WR","TB","45","38","47","59","46","44","23","0","0","0","bye","39","67","51","47","58","48","59","671","47.9"
"Chig Okonkwo","TE","TEN","38","32","30","33","bye","33","42","47","56","29","42","51","36","46","44","52","51","3","665","39.1"
"Noah Gray","TE","KC","29","37","37","32","51","bye","47","52","59","39","42","44","44","42","41","36","28","4","664","39.1"
"Romeo Doubs","WR","GB","58","55","46","65","0","54","48","59","54","bye","36","37","0","0","48","46","54","0","660","50.8"
"Quentin Johnston","WR","LAC","38","48","37","43","bye","32","0","0","39","49","55","45","31","48","38","44","54","55","656","43.7"
"Drew Sample","TE","CIN","27","33","25","38","29","26","28","18","56","46","49","bye","39","49","47","49","55","41","655","38.5"
"Tyrone Tracy Jr.","RB","NYG","15","12","22","17","45","66","39","41","47","60","bye","24","46","65","46","37","37","32","651","38.3"
"Allen Lazard","WR","NYJ","51","47","61","65","72","59","33","0","0","0","0","bye","0","53","46","51","54","57","649","54.1"
"Alvin Kamara","RB","NO","34","37","48","61","47","52","40","40","61","43","44","bye","60","49","25","0","0","0","641","45.8"
"Tim Patrick","WR","DET","0","33","34","21","bye","30","30","37","44","32","56","36","49","53","64","42","40","40","641","40.1"
"Jahmyr Gibbs","RB","DET","31","53","31","30","bye","37","33","19","22","39","33","48","32","45","59","45","37","45","639","37.6"
"Cooper Kupp","WR","LAR","78","27","0","0","0","bye","0","42","71","63","37","61","51","64","55","40","48","0","637","53.1"
"Rico Dowdle","RB","DAL","28","30","37","25","38","19","bye","0","55","31","41","40","53","46","54","46","41","52","636","39.8"
"Tee Higgins","WR","CIN","0","0","56","43","48","45","45","0","0","0","69","bye","56","62","60","40","62","50","636","53.0"
"Derrick Henry","RB","BAL","37","30","37","37","39","43","34","35","35","39","30","39","37","bye","27","46","41","49","635","37.4"
"Tyler Boyd","WR","TEN","53","50","38","32","bye","40","41","46","22","33","35","38","47","38","39","31","52","0","635","39.7"
"Tank Dell","WR","HOU","50","43","45","0","46","49","46","53","58","51","41","47","43","bye","31","30","0","0","633","45.2"
"Isaiah Likely","TE","BAL","53","32","39","31","55","46","35","47","17","0","30","35","36","bye","39","41","48","43","627","39.2"
"Jonnu Smith","TE","MIA","20","32","23","25","32","bye","34","43","42","23","55","47","51","46","45","37","29","42","626","36.8"
"Jalen McMillan","WR","TB","53","38","44","0","0","14","49","59","0","0","bye","41","61","49","46","60","53","59","626","48.2"
"Will Levis","QB","TEN","64","66","54","11","bye","58","0","0","0","54","59","67","55","64","33","0","0","36","621","51.8"
"Anthony Richardson Sr.","QB","IND","45","56","56","13","0","0","62","63","0","0","70","55","62","bye","76","62","0","0","620","56.4"
"James Conner","RB","ARI","41","41","44","34","46","16","48","53","28","32","bye","40","48","55","50","31","12","0","619","38.7"
"Dawson Knox","TE","BUF","36","24","33","27","33","42","31","41","43","52","61","bye","28","49","51","33","34","0","618","38.6"
"Jake Ferguson","TE","DAL","39","0","53","41","57","46","bye","52","63","45","7","0","0","46","44","35","42","46","616","44.0"
"Derek Carr","QB","NO","60","53","56","73","44","0","0","0","78","51","56","bye","70","63","0","0","0","0","604","60.4"
"Josh Downs","WR","IND","0","0","32","41","43","55","38","45","27","44","48","29","0","bye","58","36","47","59","602","43.0"
"Colby Parkinson","TE","LAR","69","42","58","53","62","bye","35","46","32","11","19","19","20","37","32","17","23","26","601","35.4"
"Rhamondre Stevenson","RB","NE","51","49","24","35","28","0","30","54","51","45","58","29","56","bye","33","32","24","0","599","39.9"
"Keon Coleman","WR","BUF","45","41","20","43","38","44","41","63","52","0","0","bye","0","0","44","39","63","65","598","46.0"
"Calvin Austin III","WR","PIT","28","30","37","39","44","24","34","38","bye","35","26","40","16","23","35","48","56","40","593","34.9"
"Rachaad White","RB","TB","45","34","42","45","34","0","39","41","34","37","bye","32","42","47","37","36","28","18","591","36.9"
"David Njoku","TE","CLE","28","0","0","0","26","42","69","58","61","bye","63","57","79","65","0","41","0","0","589","53.5"
"Amari Cooper","WR","Multi","72","63","60","55","51","47","19","38","0","0","37","0","27","32","32","32","22","0","587","41.9"
"Dontayvion Wicks","WR","GB","31","36","29","58","45","10","24","21","35","bye","16","28","48","39","30","42","46","48","586","34.5"
"Khalil Shakir","WR","BUF","33","31","35","35","0","26","38","44","35","53","52","bye","29","47","41","44","43","0","586","39.1"
"Darnell Washington","TE","PIT","37","29","35","40","30","49","36","30","bye","50","45","38","34","38","19","26","26","22","584","34.4"
"Parker Washington","WR","JAC","7","13","22","14","8","18","21","42","46","23","28","bye","56","44","72","63","48","59","584","34.4"
"Brock Wright","TE","DET","30","29","47","29","bye","34","28","20","34","37","65","34","30","49","18","34","37","28","583","34.3"
"Austin Hooper","TE","NE","36","37","30","38","25","37","23","32","27","41","39","26","36","bye","31","50","24","43","575","33.8"
"Brenton Strange","TE","JAC","19","41","50","42","49","23","28","22","9","18","24","bye","29","26","69","34","42","50","575","33.8"
"Javonte Williams","RB","DEN","36","40","35","35","40","37","41","42","39","17","32","38","30","bye","34","33","22","23","574","33.8"
"Adam Trautman","TE","DEN","24","25","46","28","34","17","40","41","44","34","37","36","37","bye","27","28","29","47","574","33.8"
"Jalen Nailor","WR","MIN","26","50","54","14","41","bye","44","21","20","42","32","28","31","24","41","35","38","32","573","33.7"
"Cooper Rush","QB","DAL","1","3","0","0","0","18","bye","0","30","45","83","64","76","60","73","60","59","0","572","47.7"
"Noah Fant","TE","SEA","50","57","28","51","40","54","32","31","0","bye","0","0","43","38","35","46","29","35","569","40.6"
"David Moore","WR","CAR","19","2","19","9","24","6","14","50","46","50","bye","58","63","62","32","61","15","38","568","33.4"
