"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"DeMario Douglas","WR","NE","3","0","9","3","9","9","3","3","9","5","6","7","4","bye","3","5","5","4","87","5.1"
"Ray-Ray McCloud III","WR","ATL","7","5","3","7","9","4","4","3","3","4","6","bye","6","11","3","4","1","7","87","5.1"
"De'Von Achane","RB","MIA","7","7","5","3","1","bye","3","8","8","5","4","4","9","7","7","7","2","0","87","5.1"
"Cade Otton","TE","TB","2","2","8","9","4","6","10","10","11","8","bye","3","7","4","3","-","-","-","87","6.2"
"Jake Ferguson","TE","DAL","5","-","11","7","7","4","bye","8","10","5","1","-","-","6","4","9","5","4","86","6.1"
"Dalton Schultz","TE","HOU","3","3","5","5","6","8","2","6","6","4","7","2","7","bye","4","8","6","3","85","5.0"
"Amari Cooper","WR","BUF","9","8","12","8","10","6","5","2","-","-","3","bye","3","14","-","2","3","-","85","6.5"
"Xavier Legette","WR","CAR","7","0","3","10","1","4","3","7","6","4","bye","6","8","8","3","-","9","5","84","5.3"
"Mike Gesicki","TE","CIN","4","9","5","1","2","0","1","8","6","9","2","bye","5","3","4","2","12","10","83","4.9"
"Jaylen Waddle","WR","MIA","5","4","5","6","8","bye","2","6","2","6","3","9","4","12","2","-","0","9","83","5.2"
"Sam LaPorta","TE","DET","5","3","2","4","bye","1","2","6","3","6","-","6","6","7","10","7","8","7","83","5.2"
"Tank Dell","WR","HOU","7","4","6","-","4","9","4","4","9","9","7","5","4","bye","2","7","-","-","81","5.8"
"Tre Tucker","WR","LV","3","2","9","6","5","2","8","3","6","bye","4","8","1","5","3","4","8","4","81","4.8"
"Deebo Samuel Sr.","WR","SF","9","10","-","5","3","5","0","7","bye","6","7","4","5","3","7","9","1","-","81","5.4"
"DeAndre Hopkins","WR","KC","1","2","7","4","-","6","1","3","9","5","4","6","9","9","6","4","4","-","80","5.0"
"Jalen Tolbert","WR","DAL","2","9","5","3","10","5","bye","3","6","5","5","4","4","3","2","3","4","6","79","4.6"
"Pat Freiermuth","TE","PIT","4","4","5","7","3","3","3","2","bye","3","2","4","7","3","6","3","8","11","78","4.6"
"Dontayvion Wicks","WR","GB","3","4","2","13","7","3","6","2","3","bye","1","2","5","5","2","7","5","6","76","4.5"
"Breece Hall","RB","NYJ","6","8","5","5","4","6","9","3","4","4","7","bye","1","-","2","6","1","5","76","4.8"
"Jayden Reed","WR","GB","6","2","6","8","6","6","4","3","6","bye","2","3","6","1","6","4","4","2","75","4.4"
