"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Raheem Mostert","RB","MIA","3","-","-","-","2","bye","0","2","2","3","0","1","3","-","3","2","2","0","23","1.8"
"Lucas Krull","TE","DEN","-","-","-","-","1","4","4","2","1","2","0","0","3","bye","2","3","1","0","23","1.8"
"Drew Sample","TE","CIN","0","3","0","1","0","0","1","0","4","0","2","bye","2","2","1","1","1","4","22","1.3"
"Erick All Jr.","TE","CIN","0","4","4","4","2","3","1","2","2","-","-","bye","-","-","-","-","-","-","22","2.4"
"Cade Stover","TE","HOU","0","1","0","1","2","1","1","3","2","2","2","4","1","bye","-","-","1","1","22","1.5"
"Derrick Henry","RB","BAL","2","1","1","3","1","0","1","1","1","1","0","0","3","bye","0","2","2","3","22","1.3"
"Kenneth Gainwell","RB","PHI","1","0","3","1","bye","1","1","1","1","1","1","0","0","2","3","1","1","4","22","1.3"
"Mo Alie-Cox","TE","IND","1","1","1","0","4","4","1","1","0","0","3","0","2","bye","0","2","1","1","22","1.3"
"Adam Trautman","TE","DEN","1","0","1","0","1","0","3","4","1","1","1","2","1","bye","2","1","3","0","22","1.3"
"Trey Palmer","WR","TB","2","0","1","3","-","-","3","2","4","1","bye","1","1","0","0","4","0","0","22","1.5"
"Pierre Strong Jr.","RB","CLE","3","2","-","-","1","3","3","1","0","bye","0","-","0","2","0","2","5","-","22","1.7"
"Kalif Raymond","WR","DET","0","4","0","1","bye","6","4","2","1","0","2","1","-","-","-","-","-","1","22","1.8"
"Kevin Austin Jr.","WR","NO","-","-","-","-","-","-","-","-","-","2","2","bye","3","5","3","4","2","1","22","2.8"
"Emari Demercado","RB","ARI","2","0","0","1","1","7","0","1","2","0","bye","0","2","4","-","-","-","-","20","1.5"
"Nick Vannett","TE","TEN","2","0","2","-","bye","-","4","1","2","-","1","1","1","2","1","-","1","2","20","1.5"
"Roschon Johnson","RB","CHI","-","-","5","0","0","3","bye","0","3","2","1","1","0","-","-","0","0","5","20","1.5"
"Ryan Miller","WR","TB","-","-","-","-","-","1","-","5","3","3","bye","1","0","0","1","2","4","0","20","1.8"
"Ray Davis","RB","BUF","1","1","1","0","2","3","1","0","2","0","0","bye","1","0","2","1","1","3","19","1.1"
"Jalin Hyatt","WR","NYG","1","0","1","1","0","4","1","-","0","4","bye","0","2","2","0","2","0","1","19","1.2"
"Julian Hill","TE","MIA","1","2","2","0","0","bye","2","3","-","1","3","2","1","1","0","0","0","1","19","1.2"
"Trey Sermon","RB","IND","-","1","0","0","6","0","1","1","2","1","1","-","0","bye","2","0","1","3","19","1.3"
"D'Ernest Johnson","RB","JAC","-","0","1","0","3","2","4","2","1","-","0","bye","-","-","-","2","2","2","19","1.6"
"Stone Smartt","TE","LAC","-","-","0","-","bye","1","2","0","-","-","-","-","2","3","6","3","2","-","19","2.1"
"Christian McCaffrey","RB","SF","-","-","-","-","-","-","-","-","bye","7","5","4","3","-","-","-","-","-","19","4.8"
"K.J. Osborn","WR","WAS","6","2","-","5","-","-","3","1","-","1","-","-","-","bye","-","-","0","-","18","2.6"
"Jordan Mims","RB","NO","0","-","0","-","-","4","-","-","1","2","0","bye","-","-","-","8","-","3","18","2.3"
"Cam Akers","RB","MIN","-","1","3","0","3","0","0","-","2","1","2","1","0","0","0","0","3","2","18","1.1"
"Odell Beckham Jr.","WR","MIA","-","-","-","-","1","bye","2","-","3","2","4","3","2","1","-","-","-","-","18","2.3"
"Jake Bobo","WR","SEA","0","2","0","3","1","4","1","1","1","bye","0","1","0","0","1","1","0","1","17","1.0"
"Bo Melton","WR","GB","0","0","0","3","2","2","1","1","2","bye","0","1","0","0","0","1","4","0","17","1.0"
"Daniel Bellinger","TE","NYG","1","0","1","0","0","0","1","0","0","0","bye","0","0","7","3","2","0","2","17","1.0"
"Durham Smythe","TE","MIA","3","1","2","-","1","bye","0","-","1","1","1","1","1","1","1","2","-","1","17","1.2"
"Luke Farrell","TE","JAC","0","2","2","1","2","-","-","0","1","2","2","bye","1","-","-","3","-","1","17","1.4"
"Derius Davis","WR","LAC","0","0","0","0","bye","2","-","-","0","1","2","2","1","4","0","2","2","1","17","1.1"
"Michael Woods II","WR","CLE","-","-","-","-","-","-","-","-","-","bye","-","-","5","3","3","3","3","-","17","3.4"
"Isiah Pacheco","RB","KC","3","5","-","-","-","bye","-","-","-","-","-","-","1","4","1","2","0","-","16","2.3"
"Devin Duvernay","WR","JAC","0","0","1","0","0","-","-","-","-","0","2","bye","4","3","4","1","1","0","16","1.2"
"Hunter Luepke","RB","DAL","2","0","3","2","1","0","bye","0","2","1","-","1","0","1","0","2","1","0","16","1.0"
"Brock Wright","TE","DET","1","0","5","2","bye","1","0","1","1","0","1","2","1","1","0","0","0","0","16","0.9"
"Isaac Guerendo","RB","SF","0","0","0","0","0","0","1","4","bye","0","0","0","1","2","4","-","4","0","16","1.0"
"Simi Fehoko","WR","LAC","-","-","3","0","bye","4","6","2","1","-","-","-","-","-","-","-","-","-","16","2.7"
"Nate Adkins","TE","DEN","0","1","1","1","1","1","0","1","0","0","1","0","1","bye","1","2","1","3","15","0.9"
"Johnny Wilson","WR","PHI","1","1","2","2","bye","0","0","0","0","1","0","1","-","1","1","0","0","5","15","0.9"
"Bub Means","WR","NO","1","0","-","0","0","8","5","1","-","-","-","bye","-","-","-","-","-","-","15","2.1"
"Ezekiel Elliott","RB","DAL","2","3","2","1","1","0","bye","1","-","0","3","0","0","1","1","0","0","-","15","1.0"
"Tyler Goodson","RB","IND","-","1","0","0","3","5","0","1","0","3","0","0","0","bye","0","0","0","2","15","0.9"
"Marquise Brown","WR","KC","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","8","7","-","15","7.5"
"Jermaine Burton","WR","CIN","0","2","0","0","0","-","0","3","-","5","4","bye","0","0","0","0","0","-","14","1.0"
"Drew Ogletree","TE","IND","0","2","0","1","1","2","1","0","0","1","1","1","2","bye","0","1","0","1","14","0.8"
"Brevyn Spann-Ford","TE","DAL","0","1","0","0","3","0","bye","2","0","0","5","2","0","0","1","0","0","0","14","0.8"
"Payne Durham","TE","TB","0","0","1","0","0","0","-","0","0","0","bye","1","0","0","0","7","3","2","14","0.9"
"Mecole Hardman Jr.","WR","KC","0","0","0","0","4","bye","2","1","3","1","3","0","0","-","-","-","-","-","14","1.2"
"Emanuel Wilson","RB","GB","3","0","2","1","1","2","0","2","1","bye","0","0","0","0","0","1","0","1","14","0.8"
"Cordarrelle Patterson","RB","PIT","0","0","5","2","-","-","-","-","bye","0","1","0","3","1","1","1","0","0","14","1.1"
"DeAndre Carter","WR","CHI","2","4","6","0","0","0","bye","1","0","1","0","0","0","0","-","-","-","-","14","1.1"
"Jordan Mason","RB","SF","1","1","2","3","1","2","2","0","bye","0","0","2","0","-","-","-","-","-","14","1.2"
"Eric Saubert","TE","SF","1","2","2","-","-","0","-","0","bye","0","1","1","-","1","0","1","0","5","14","1.1"
"Ryan Flournoy","WR","DAL","-","-","-","-","0","1","bye","0","2","0","3","0","-","1","-","3","2","2","14","1.3"
"Tyler Allgeier","RB","ATL","0","1","0","2","3","1","1","0","0","0","1","bye","1","0","0","1","0","2","13","0.8"
"Gerald Everett","TE","CHI","1","3","1","-","2","1","bye","2","1","-","-","-","-","-","-","1","1","0","13","1.3"
"Hayden Hurst","TE","LAC","3","2","2","3","bye","-","-","-","1","1","-","-","-","-","-","1","-","-","13","1.9"
"Jamison Crowder","WR","WAS","1","-","-","-","-","-","-","-","-","-","-","-","-","bye","3","4","5","0","13","2.6"
"John Bates","TE","WAS","1","1","0","1","0","0","0","2","0","0","3","1","0","bye","1","1","1","1","13","0.8"
"Davis Allen","TE","LAR","1","-","-","-","1","bye","0","0","3","6","0","1","0","0","0","0","1","0","13","0.9"
"Chris Brooks","RB","GB","-","-","0","-","-","0","0","1","4","bye","2","1","2","0","1","1","0","1","13","1.0"
"Malik Heath","WR","GB","-","-","0","2","3","0","0","0","-","bye","0","2","0","0","-","-","1","5","13","1.1"
"Tylan Wallace","WR","BAL","0","0","0","0","2","0","0","0","0","3","1","1","2","bye","1","0","1","1","12","0.7"
"JaMycal Hasty","RB","NE","0","0","0","1","-","2","5","-","1","1","0","2","-","bye","0","-","0","-","12","1.0"
"Charlie Woerner","TE","ATL","2","0","0","0","0","0","0","1","0","1","-","bye","1","1","3","2","1","0","12","0.8"
"KhaDarel Hodge","WR","ATL","0","0","0","0","2","0","0","0","2","0","2","bye","0","0","0","-","4","2","12","0.8"
"Alec Ingold","RB","MIA","1","0","3","0","0","bye","1","3","0","-","-","0","2","0","0","0","0","2","12","0.8"
"Tank Bigsby","RB","JAC","0","0","0","0","1","0","1","3","0","0","-","bye","1","2","1","1","1","1","12","0.8"
"Greg Dulcich","TE","NYG","3","8","0","1","-","-","-","-","-","-","bye","-","-","0","0","0","0","0","12","1.3"
"Sean Tucker","RB","TB","0","0","0","1","0","3","2","1","1","0","bye","1","0","2","0","0","1","0","12","0.7"
"Jeremy McNichols","RB","WAS","0","0","0","1","0","0","0","0","1","0","1","0","0","bye","2","4","3","0","12","0.7"
"Chris Conley","WR","SF","-","1","0","2","-","-","2","1","bye","-","-","1","0","-","-","-","1","4","12","1.3"
"Harrison Bryant","TE","LV","-","1","-","2","0","5","2","-","2","bye","-","-","-","-","-","-","-","-","12","2.0"
"Pharaoh Brown","TE","SEA","-","-","2","2","1","-","-","0","-","bye","0","2","1","2","-","1","1","-","12","1.2"
"Isaiah Davis","RB","NYJ","-","-","0","-","0","0","0","0","0","1","0","bye","3","6","1","0","1","0","12","0.9"
"Jalen Reagor","WR","LAC","-","-","-","-","bye","-","1","2","2","1","1","4","0","1","-","-","-","-","12","1.5"
"Tyler Higbee","TE","LAR","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","2","3","7","12","4.0"
"Charlie Kolar","TE","BAL","0","1","1","0","4","0","1","2","0","1","0","1","-","bye","-","-","-","0","11","0.8"
"Carson Steele","RB","KC","0","0","2","3","0","bye","0","1","0","0","1","2","0","0","0","0","-","2","11","0.7"
"Khalil Herbert","RB","CIN","0","2","0","-","0","0","-","-","-","0","0","bye","0","1","0","-","0","8","11","0.9"
"Eric Gray","RB","NYG","1","0","0","0","4","0","1","1","0","0","bye","2","0","-","0","1","0","1","11","0.7"
"Jamaal Williams","RB","NO","1","0","3","2","0","0","0","0","-","-","-","bye","1","2","0","0","1","1","11","0.8"
"Patrick Taylor Jr.","RB","SF","-","-","-","0","0","1","-","0","bye","-","-","-","-","1","0","5","0","4","11","1.2"
"Zay Jones","WR","ARI","-","-","-","-","-","-","1","1","0","0","bye","0","0","2","1","0","1","5","11","1.0"
"Nick Chubb","RB","CLE","-","-","-","-","-","-","3","2","1","bye","0","1","2","1","1","-","-","-","11","1.4"
"Rakim Jarrett","WR","TB","-","-","-","-","-","-","-","3","1","4","bye","1","0","0","0","1","1","0","11","1.1"
"Michael Carter","RB","ARI","-","-","-","-","-","-","-","-","-","-","bye","-","-","0","-","5","2","4","11","2.8"
"Luke Musgrave","TE","GB","2","1","1","3","-","-","-","-","-","bye","-","-","-","-","-","1","1","1","10","1.4"
"Trenton Irwin","WR","CIN","2","6","-","-","-","-","-","1","1","0","0","bye","-","-","-","-","-","-","10","1.7"
"MyCole Pruitt","TE","PIT","2","0","-","-","-","-","0","1","bye","1","-","-","3","1","-","2","-","-","10","1.3"
"Trent Sherfield Sr.","WR","MIN","1","2","1","1","0","bye","0","1","1","1","1","0","-","0","1","0","-","0","10","0.7"
"Brandon Powell","WR","MIN","0","2","2","2","0","bye","0","0","1","0","1","0","1","0","1","0","0","0","10","0.6"
"Michael Burton","RB","DEN","1","1","0","1","1","0","0","1","0","0","1","1","0","bye","0","3","0","0","10","0.6"
"Xavier Gipson","WR","NYJ","0","0","2","4","0","0","0","1","0","1","1","bye","1","0","0","0","0","0","10","0.6"
"DJ Chark Jr.","WR","LAC","-","-","-","-","bye","-","-","-","-","-","-","-","-","1","2","-","4","3","10","2.5"
"Scotty Miller","WR","PIT","0","0","2","0","0","0","0","2","bye","-","0","-","-","4","1","0","0","-","9","0.7"
"Hunter Long","TE","LAR","-","0","0","-","2","bye","1","1","1","-","-","-","1","1","2","0","0","-","9","0.8"
"Blake Whiteheart","TE","CLE","-","0","0","3","0","-","-","-","-","bye","-","1","1","1","1","0","1","1","9","0.8"
"Kimani Vidal","RB","LAC","-","-","-","-","bye","2","1","0","0","-","-","-","0","1","3","0","2","0","9","0.9"
"Ainias Smith","WR","PHI","-","-","-","-","bye","-","-","0","1","2","0","0","-","-","-","-","0","6","9","1.3"
"Bryce Oliver","WR","TEN","-","-","-","-","bye","-","-","-","0","2","1","0","0","1","2","0","0","3","9","0.9"
"River Cracraft","WR","MIA","-","-","-","-","-","bye","-","-","-","-","-","0","-","-","1","3","1","4","9","1.8"
"Connor Heyward","TE","PIT","0","0","1","0","4","1","0","0","bye","0","0","0","0","0","0","1","1","0","8","0.5"
"Britain Covey","WR","PHI","0","6","1","-","bye","-","-","-","-","-","-","0","1","-","-","-","-","-","8","1.6"
"Tyquan Thornton","WR","NE","3","-","1","1","-","-","-","3","-","-","-","-","-","bye","-","-","-","-","8","2.0"
"Quintin Morris","TE","BUF","0","-","-","-","-","0","0","-","1","-","1","bye","1","-","0","0","1","4","8","0.8"
"Treylon Burks","WR","TEN","2","1","3","1","bye","1","-","-","-","-","-","-","-","-","-","-","-","-","8","1.6"
"Ashton Dulin","WR","IND","1","2","1","0","0","1","0","0","2","0","0","1","-","bye","-","0","0","0","8","0.5"
"Zamir White","RB","LV","2","4","0","1","-","-","1","0","0","bye","0","-","-","-","-","-","-","-","8","1.0"
"Blake Corum","RB","LAR","0","0","-","-","1","bye","0","1","0","1","1","0","0","0","3","0","0","1","8","0.5"
"Kendre Miller","RB","NO","0","-","-","-","-","-","3","0","-","-","-","bye","-","1","1","2","1","-","8","1.1"
"D'Onta Foreman","RB","CLE","-","1","0","1","1","2","0","0","-","bye","-","-","-","-","-","0","2","1","8","0.8"
"Parris Campbell","WR","PHI","-","-","2","4","bye","-","1","-","-","-","-","-","1","-","-","-","-","-","8","2.0"
"Will Mallory","TE","IND","-","-","-","0","1","1","1","2","0","1","-","-","1","bye","1","0","-","-","8","0.8"
"Kenny Yeboah","TE","NYJ","-","-","-","-","-","-","-","-","1","1","1","bye","-","0","-","1","2","2","8","1.1"
"Tucker Fisk","TE","LAC","-","-","-","-","bye","-","-","-","-","0","2","1","1","1","1","1","1","0","8","0.9"
"Tip Reiman","TE","ARI","0","0","0","0","1","0","1","0","0","0","bye","0","1","1","3","0","0","0","7","0.4"
"Allen Robinson II","WR","DET","-","-","-","-","bye","1","-","1","1","-","2","-","-","-","1","-","1","-","7","1.2"
"Jamari Thrash","WR","CLE","-","-","-","-","-","-","0","-","0","bye","1","0","2","-","1","1","1","1","7","0.8"
"Sincere McCormick","RB","LV","-","-","-","-","-","-","-","-","-","bye","-","0","2","3","2","-","-","-","7","1.8"
"Malachi Corley","WR","NYJ","0","1","-","-","-","-","-","0","0","2","1","bye","2","-","-","-","-","-","6","0.9"
"Trey Benson","RB","ARI","1","1","0","0","-","0","0","0","1","2","bye","0","0","1","0","-","-","-","6","0.5"
"Ty Chandler","RB","MIN","3","0","0","1","2","bye","0","0","-","0","0","0","0","0","0","0","0","-","6","0.4"
"C.J. Ham","RB","MIN","2","0","0","0","0","bye","0","0","0","0","0","1","0","0","0","1","2","0","6","0.4"
"Ronnie Rivers","RB","LAR","0","1","0","0","-","bye","0","-","-","-","-","-","-","0","-","-","-","5","6","0.9"
"Jacob Cowing","WR","SF","0","0","0","0","-","0","3","0","bye","0","0","-","0","1","0","0","0","2","6","0.4"
"Jaylen Wright","RB","MIA","-","0","0","1","0","bye","0","0","0","0","1","1","0","3","0","-","0","0","6","0.4"
"Ronnie Bell","WR","SF","-","-","3","-","-","-","2","1","bye","0","-","-","-","-","-","-","-","-","6","1.5"
"Ian Thomas","TE","CAR","-","-","-","-","-","3","2","-","-","1","bye","-","-","-","-","-","-","-","6","2.0"
"Devin Culp","TE","TB","-","-","-","-","-","-","0","0","-","-","bye","-","-","-","-","0","4","2","6","1.2"
"Terrace Marshall Jr.","WR","LV","-","-","-","-","-","-","-","-","-","bye","-","-","1","1","1","1","2","-","6","1.2"
"Nikko Remigio","WR","KC","-","-","-","-","-","bye","-","-","-","-","-","-","-","0","0","0","0","6","6","1.2"
"Patrick Ricard","RB","BAL","0","1","0","0","0","0","1","0","1","0","1","0","0","bye","0","0","0","1","5","0.3"
"Ben Sims","TE","GB","0","0","0","0","0","2","1","1","0","bye","0","0","0","1","0","0","0","0","5","0.3"
"Ben Sinnott","TE","WAS","0","0","0","0","0","0","2","0","1","0","0","0","1","bye","1","0","0","0","5","0.3"
"Tim Jones","WR","JAC","0","-","-","-","-","0","-","2","2","-","-","bye","0","-","-","0","1","0","5","0.6"
"Gus Edwards","RB","LAC","1","0","0","0","bye","-","-","-","-","0","0","1","1","0","0","2","-","-","5","0.5"
"Laviska Shenault Jr.","WR","SEA","1","1","1","1","0","0","0","1","0","bye","-","-","0","-","-","-","-","-","5","0.5"
"Audric Estime","RB","DEN","0","-","-","-","-","0","0","0","0","0","3","0","0","bye","1","0","1","0","5","0.4"
"Deuce Vaughn","RB","DAL","0","1","2","0","-","-","bye","-","-","-","2","-","-","-","-","-","-","0","5","0.8"
"Peyton Hendershot","TE","KC","-","0","-","-","-","bye","-","-","1","1","1","-","-","-","-","-","-","2","5","1.0"
"Ben Skowronek","WR","PIT","-","0","-","-","0","-","-","-","bye","0","1","0","1","0","1","2","-","0","5","0.5"
"Craig Reynolds","RB","DET","-","0","0","0","bye","0","0","0","0","-","0","0","-","0","0","1","2","2","5","0.4"
"Cam Grandy","TE","CIN","-","-","-","-","-","-","-","-","-","1","0","bye","0","0","2","0","1","1","5","0.6"
"Clyde Edwards-Helaire","RB","NO","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","4","1","5","2.5"
"Chris Manhertz","TE","NYG","0","0","0","0","0","0","0","1","1","0","bye","0","0","0","0","0","1","1","4","0.2"
"Will Shipley","RB","PHI","0","0","0","0","bye","0","0","0","0","0","0","-","0","0","-","-","-","4","4","0.3"
"Dameon Pierce","RB","HOU","0","-","-","-","-","1","0","0","-","-","0","0","1","bye","0","0","0","2","4","0.4"
"Braxton Berrios","WR","MIA","2","1","1","0","0","bye","0","-","-","-","-","-","-","-","-","0","0","-","4","0.5"
"Tanner Conner","TE","MIA","0","0","2","2","0","bye","-","-","0","0","-","-","-","-","-","-","-","-","4","0.6"
"Eric Tomlinson","TE","LAC","0","1","-","-","bye","-","1","1","1","-","-","-","-","-","-","-","-","-","4","0.8"
"Grant DuBose","WR","MIA","-","3","-","-","-","bye","-","-","-","-","-","-","-","-","1","-","-","-","4","2.0"
"Robbie Chosen","WR","MIA","-","4","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","4","4.0"
"Adam Prentice","RB","NO","-","1","-","0","0","-","0","1","1","-","-","bye","-","-","0","0","1","-","4","0.4"
"Javon Baker","WR","NE","-","0","-","-","-","-","-","0","0","0","0","1","0","bye","-","1","1","1","4","0.4"
"Kenny McIntosh","RB","SEA","-","0","0","0","-","-","0","-","-","bye","0","0","0","2","0","1","0","1","4","0.3"
"Dallin Holker","TE","NO","-","-","-","-","0","0","0","-","0","0","0","bye","0","1","0","0","0","3","4","0.3"
"Deven Thompkins","WR","CAR","-","-","-","-","-","-","-","-","0","-","bye","3","-","1","0","0","-","-","4","0.8"
"Dan Chisena","WR","CAR","-","-","-","-","-","-","-","-","-","-","bye","0","1","0","-","2","1","0","4","0.7"
"Skyy Moore","WR","KC","0","0","0","2","0","bye","1","-","-","-","-","-","-","-","-","-","-","-","3","0.5"
"Sione Vaki","RB","DET","0","1","0","-","bye","0","0","0","-","0","0","0","-","-","0","2","0","-","3","0.3"
"DeeJay Dallas","RB","ARI","0","0","0","0","0","0","0","0","0","0","bye","0","-","0","0","1","1","1","3","0.2"
"Travis Homer","RB","CHI","0","0","-","-","-","-","bye","-","0","0","0","0","0","3","0","-","-","-","3","0.3"
"Jha'Quan Jackson","WR","TEN","0","0","0","0","bye","0","0","1","2","0","0","0","0","-","-","-","-","-","3","0.3"
"Julius Chestnut","RB","TEN","0","0","-","-","bye","0","1","0","0","0","0","1","0","0","-","0","1","0","3","0.2"
"Brevin Jordan","TE","HOU","2","1","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","3","1.5"
"Jeff Wilson Jr.","RB","MIA","0","2","0","-","-","bye","-","-","-","-","-","-","-","1","-","0","0","0","3","0.4"
"Mike Boone","RB","CAR","0","-","-","-","-","-","-","-","-","-","bye","-","-","-","0","0","2","1","3","0.6"
"Hassan Haskins","RB","LAC","-","0","-","0","bye","0","0","0","0","0","0","0","0","0","0","2","1","0","3","0.2"
"David Bell","WR","CLE","-","3","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","3","3.0"
"James Proche II","WR","CLE","-","0","0","1","0","-","-","-","-","bye","-","-","-","2","0","0","0","0","3","0.3"
"Tyler Badie","RB","DEN","-","1","0","2","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","3","1.0"
"Jaheim Bell","TE","NE","-","0","-","-","-","0","0","0","1","0","1","0","0","bye","0","0","0","1","3","0.2"
"Dee Eskridge","WR","MIA","-","-","1","0","-","bye","-","1","0","-","-","-","-","0","-","-","1","-","3","0.5"
"Josiah Deguara","TE","JAC","-","-","1","-","1","0","-","-","-","-","0","bye","-","0","-","1","0","-","3","0.4"
"J.J. Taylor","RB","HOU","-","-","2","1","-","-","-","-","0","0","-","-","-","bye","-","-","-","-","3","0.8"
"Jack Stoll","TE","PHI","-","-","0","2","bye","-","0","1","0","-","-","-","-","-","-","-","-","-","3","0.6"
"Alex Bachman","WR","LV","-","-","-","0","0","3","0","0","-","bye","-","-","-","-","-","-","-","-","3","0.6"
"Jody Fortson Jr.","TE","KC","-","-","-","-","1","bye","1","1","-","-","-","-","-","-","-","-","-","-","3","1.0"
"Kristian Wilkerson","WR","LV","-","-","-","-","-","3","-","-","-","bye","-","-","-","-","-","-","-","-","3","3.0"
"Devontez Walker","WR","BAL","-","-","-","-","-","-","0","-","0","-","-","0","-","bye","1","0","2","0","3","0.4"
"Isaiah Williams","WR","CIN","-","-","-","-","-","-","-","3","0","-","-","bye","0","0","0","0","0","0","3","0.4"
"Ramel Keyton","WR","LV","-","-","-","-","-","-","-","-","2","bye","1","-","-","0","-","-","-","-","3","1.0"
"Austin Trammell","WR","JAC","-","-","-","-","-","-","-","-","3","-","-","bye","-","-","-","-","-","-","3","3.0"
"Cody White","WR","SEA","-","-","-","-","-","-","-","-","3","bye","0","0","0","-","-","-","-","-","3","0.8"
"Jonathon Brooks","RB","CAR","-","-","-","-","-","-","-","-","-","-","bye","0","3","0","-","-","-","-","3","1.0"
"Jacob Kibodi","RB","CLE","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","3","3","3.0"
"E.J. Jenkins","TE","PHI","0","0","-","-","bye","-","-","-","0","-","-","-","-","0","0","0","1","1","2","0.3"
"Marcedes Lewis","TE","CHI","-","0","0","-","-","1","bye","1","0","-","-","-","-","-","-","-","-","0","2","0.3"
"Erik Ezukanma","WR","MIA","-","-","2","-","-","bye","-","-","-","-","-","-","-","-","-","0","-","-","2","1.0"
"Xavier Smith","WR","LAR","-","-","0","0","2","bye","0","0","0","0","0","0","0","0","0","0","0","0","2","0.1"
"Brayden Willis","TE","SF","-","-","0","-","-","-","-","0","bye","-","0","0","-","0","0","0","0","2","2","0.2"
"Collin Johnson","WR","CHI","-","-","0","-","-","-","bye","-","-","-","-","0","0","1","-","1","-","0","2","0.3"
"John Ross","WR","PHI","-","-","-","2","bye","-","-","-","-","-","-","-","-","-","-","-","-","-","2","2.0"
"Chris Collier","RB","LV","-","-","-","-","0","-","0","0","0","bye","-","-","-","-","-","-","0","2","2","0.3"
"Blake Watson","RB","DEN","-","-","-","-","0","-","-","0","-","-","-","-","-","bye","-","2","-","-","2","0.7"
"Andrew Beck","TE","HOU","-","-","-","-","-","1","-","-","-","-","-","-","-","bye","-","1","-","-","2","1.0"
"Xavier Weaver","WR","ARI","-","-","-","-","-","1","-","-","-","-","bye","-","-","-","-","-","-","1","2","1.0"
"Isaiah Hodgins","WR","NYG","-","-","-","-","-","1","-","-","-","1","bye","-","-","-","-","-","-","-","2","1.0"
"Casey Washington","WR","ATL","-","-","-","-","-","-","1","-","-","-","1","bye","-","-","-","-","-","-","2","1.0"
"Mason Kinsey","WR","TEN","-","-","-","-","bye","-","-","0","-","-","-","-","-","0","1","1","0","0","2","0.3"
"Zach Davidson","TE","BUF","-","-","-","-","-","-","-","-","-","-","1","bye","1","0","-","-","-","-","2","0.7"
"Rasheen Ali","RB","BAL","-","-","-","-","-","-","-","-","-","-","-","-","0","bye","0","0","0","2","2","0.4"
"David Martin-Robinson","TE","TEN","-","-","-","-","bye","-","-","-","-","-","-","-","-","1","0","1","0","0","2","0.4"
"Chris Blair","WR","ATL","-","-","-","-","-","-","-","-","-","-","-","bye","-","-","-","1","1","0","2","0.7"
"Tay Martin","WR","TEN","-","-","-","-","bye","-","-","-","-","-","-","-","-","-","-","-","-","2","2","2.0"
"Jared Wiley","TE","KC","0","1","0","0","0","bye","0","0","-","-","-","-","-","-","-","-","-","-","1","0.1"
"Tom Kennedy","WR","DET","0","1","-","-","bye","-","-","-","-","-","-","-","-","-","-","0","0","-","1","0.3"
"Charlie Jones","WR","CIN","1","0","0","0","0","0","0","0","-","-","-","bye","-","-","-","-","-","-","1","0.1"
"Velus Jones Jr.","WR","CAR","1","-","-","-","-","-","-","-","-","-","bye","-","-","-","-","-","0","-","1","0.5"
"Myles Gaskin","RB","MIN","0","-","0","0","1","bye","-","-","-","-","-","-","-","-","-","-","-","-","1","0.3"
"Anthony Gould","WR","IND","0","0","0","-","-","-","-","-","-","-","-","-","0","bye","1","0","0","0","1","0.1"
"Jordan Matthews","TE","CAR","1","-","-","-","-","-","-","-","0","-","bye","-","-","-","-","-","-","-","1","0.5"
"Dareke Young","WR","SEA","1","-","0","0","-","-","0","0","0","bye","-","0","-","0","0","0","0","0","1","0.1"
"Kameron Johnson","WR","TB","0","-","-","1","0","0","-","-","-","-","bye","-","-","-","-","-","0","-","1","0.2"
"Jaelon Darden","WR","SEA","0","-","-","-","-","1","0","0","0","bye","-","-","0","0","0","0","0","0","1","0.1"
"Chris Rodriguez Jr.","RB","WAS","0","-","-","-","-","-","-","-","0","0","-","-","0","bye","0","0","1","0","1","0.1"
"MarShawn Lloyd","RB","GB","-","1","-","-","-","-","-","-","-","bye","-","-","-","-","-","-","-","-","1","1.0"
"Irvin Charles","WR","NYJ","-","0","0","0","0","0","1","0","0","0","0","bye","0","-","-","-","-","-","1","0.1"
"Tyler Scott","WR","CHI","-","0","0","0","0","0","bye","-","0","-","0","-","-","-","1","0","0","0","1","0.1"
"Ross Dwelley","TE","ATL","-","-","0","-","-","-","-","-","-","-","1","bye","-","-","0","0","-","-","1","0.3"
"Tyrell Shavers","WR","BUF","-","-","-","-","0","-","-","-","-","0","-","bye","-","-","-","-","1","-","1","0.3"
"Brycen Tremayne","WR","WAS","-","-","-","-","1","-","-","-","-","-","-","-","-","bye","-","-","0","-","1","0.5"
"John Samuel Shenker","TE","LV","-","-","-","-","0","-","-","1","-","bye","-","-","-","-","-","0","-","-","1","0.3"
"Trent Taylor","WR","SF","-","-","-","-","0","-","-","-","bye","-","-","-","-","-","-","-","-","1","1","0.5"
"Brandon Johnson","WR","PIT","-","-","-","-","1","-","0","0","bye","-","-","-","-","-","-","-","-","-","1","0.3"
