"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Donovan Wilson","S","DAL","72","56","63","69","55","56","bye","65","50","68","63","48","62","67","50","71","45","50","1010","59.4"
"P.J. Locke","S","DEN","65","64","57","74","70","78","59","0","0","67","54","76","86","bye","76","60","85","29","1000","66.7"
"Fred Warner","LB","SF","51","54","57","28","58","78","70","62","bye","61","60","72","45","46","64","67","71","54","998","58.7"
"Trent McDuffie","CB","KC","80","64","61","56","53","bye","63","58","55","58","73","62","68","60","62","59","64","0","996","62.3"
"Daiyan Henley","LB","LAC","40","43","68","59","bye","42","46","73","67","54","82","65","78","69","69","64","38","39","996","58.6"
"Roquan Smith","LB","BAL","54","63","80","54","67","59","82","69","54","82","55","0","56","bye","52","60","50","55","992","62.0"
"Joshua Metellus","S","MIN","64","50","67","76","59","bye","55","61","44","43","44","67","65","67","56","64","48","61","991","58.3"
"Derwin James Jr.","S","LAC","60","44","68","0","bye","55","57","73","67","54","82","65","80","69","69","64","38","39","984","61.5"
"Kam Curl","S","LAR","61","66","71","60","59","bye","79","37","40","33","76","73","70","56","54","69","77","0","981","61.3"
"Andre Cisco","S","JAC","64","70","64","75","70","66","60","66","79","56","52","bye","51","40","26","71","69","0","979","61.2"
"Mike Sainristil","CB","WAS","61","39","62","49","56","47","34","59","62","60","71","65","55","bye","50","70","64","75","979","57.6"
"Grant Delpit","S","CLE","60","60","70","58","54","0","55","66","56","bye","57","69","56","63","74","55","59","67","979","61.2"
"Christian Gonzalez","CB","NE","51","69","71","56","75","65","61","62","77","60","52","67","62","bye","67","59","24","0","978","61.1"
"Jason Pinnock","S","NYG","54","71","67","56","58","49","51","66","56","0","bye","62","76","68","59","55","72","58","978","61.1"
"Pat Surtain II","CB","DEN","67","66","57","74","70","1","0","51","57","68","46","77","86","bye","74","65","90","29","978","61.1"
"Calen Bullock","S","HOU","25","37","53","58","61","62","58","61","58","40","83","67","70","bye","68","74","60","42","977","57.5"
"Brandon Jones","S","DEN","46","57","53","74","68","70","57","61","55","67","0","75","48","bye","71","60","84","29","975","60.9"
"Bryan Cook","S","KC","80","64","60","52","53","bye","60","49","52","56","73","62","61","47","39","38","54","74","974","57.3"
"Justin Reid","S","KC","80","59","59","55","53","bye","59","58","49","56","73","62","68","60","62","58","63","0","974","60.9"
"Jack Campbell","LB","DET","44","35","59","61","bye","48","47","72","60","68","45","55","67","50","70","64","64","65","974","57.3"
"Joey Porter Jr.","CB","PIT","54","60","46","66","75","63","57","72","bye","63","58","55","60","72","80","16","0","74","971","60.7"
"Jordan Poyer","S","MIA","53","41","64","37","0","bye","62","66","66","70","65","69","54","68","50","64","71","64","964","60.3"
"Zach Allen","DE","DEN","65","61","49","74","63","59","61","59","50","61","50","0","83","bye","69","51","85","24","964","60.3"
