"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","TTL","AVG"
"Samuel Womack III","CB","IND","0","20","28","56","43","42","32","40","44","64","40","44","52","bye","43","45","38","41","672","42.0"
"Micah McFadden","LB","NYG","0","57","48","42","26","41","51","40","50","46","bye","52","60","68","59","30","0","0","670","47.9"
"Tershawn Wharton","DE","KC","61","44","48","37","38","bye","43","43","38","32","49","39","33","26","34","28","71","3","667","39.2"
"Kwity Paye","DE","IND","52","43","67","0","0","36","45","45","52","51","36","40","49","bye","35","33","36","46","666","44.4"
"Braden Fiske","DT","LAR","47","52","45","33","30","bye","40","26","49","28","43","32","48","38","34","49","56","11","661","38.9"
"Jalen Pitre","S","HOU","45","70","62","58","58","55","58","64","48","51","70","21","0","bye","0","0","0","0","660","55.0"
"Ronald Darby","CB","JAC","70","60","54","75","70","65","43","9","61","41","47","bye","47","17","0","0","0","0","659","50.7"
"Trenton Simpson","LB","BAL","38","63","41","37","45","37","51","66","70","74","66","30","22","bye","5","0","6","4","655","40.9"
"Matt Judon","LB","ATL","46","42","44","41","33","49","32","45","40","32","34","bye","24","33","38","25","51","46","655","38.5"
"Alohi Gilman","S","LAC","59","0","68","62","bye","55","57","67","75","50","79","44","0","0","0","0","0","39","655","59.5"
"Roger McCreary","CB","TEN","40","37","44","37","bye","65","45","31","61","34","46","50","42","0","0","35","42","44","653","43.5"
"Jadeveon Clowney","DE","CAR","41","40","50","42","29","0","0","65","58","60","bye","47","57","0","28","47","40","48","652","46.6"
"Dorian Williams","LB","BUF","52","53","42","49","53","60","51","32","53","44","53","bye","0","0","20","48","25","14","649","43.3"
"Taron Johnson","CB","BUF","7","0","0","0","0","62","69","48","58","59","55","bye","48","76","70","56","38","0","646","53.8"
"Keeanu Benton","DT","PIT","27","27","26","28","45","40","39","37","bye","55","31","28","35","50","55","41","38","39","641","37.7"
"Rashan Gary","LB","GB","49","37","37","45","49","38","38","36","36","bye","46","26","43","41","29","24","37","28","639","37.6"
"Michael Hoecht","DT","LAR","30","42","43","34","38","bye","47","31","38","35","50","44","39","36","30","37","39","26","639","37.6"
"Odafe Oweh","DE","BAL","46","42","49","32","31","38","41","45","43","61","35","38","15","bye","32","33","28","27","636","37.4"
"Dorance Armstrong Jr.","DE","WAS","38","35","35","35","36","13","0","46","43","47","50","42","38","bye","46","43","42","47","636","39.8"
"Levi Onwuzurike","DT","DET","50","36","36","56","bye","50","26","44","49","58","11","22","10","0","53","40","46","48","635","39.7"
"Alim McNeill","DT","DET","68","35","16","63","bye","36","50","45","54","59","40","46","63","17","40","0","0","0","632","45.1"
"Kyle Van Noy","LB","BAL","20","26","40","27","43","41","50","51","48","59","59","33","0","bye","39","34","29","32","631","39.4"
"Amik Robertson","CB","DET","36","18","28","52","bye","57","31","28","28","29","24","18","47","17","24","63","64","65","629","37.0"
"Darrell Baker Jr.","CB","TEN","0","0","16","9","bye","0","55","48","69","58","72","56","83","59","61","11","25","6","628","44.9"
"LaBryan Ray","DT","CAR","0","32","37","50","52","32","43","32","39","47","bye","36","46","27","35","30","37","52","627","39.2"
"Cooper DeJean","CB","PHI","6","1","0","1","bye","52","42","47","52","52","64","62","56","61","29","63","39","0","627","41.8"
"DaVon Hamilton","DT","JAC","36","27","22","35","32","36","31","47","54","54","43","bye","31","38","33","35","29","43","626","36.8"
"Micheal Clemons","DT","NYJ","31","33","21","44","45","53","51","37","36","39","42","bye","30","32","37","25","37","32","625","36.8"
"Tim Settle Jr.","DT","HOU","13","25","39","33","35","36","42","33","42","46","53","45","40","bye","40","45","37","21","625","36.8"
"Josh Sweat","DE","PHI","41","40","34","41","bye","39","36","38","42","37","45","36","51","46","28","31","37","0","622","38.9"
"Za'Darius Smith","LB","Multi","44","37","34","30","37","35","30","51","29","0","37","37","55","21","30","40","33","38","618","36.4"
"Laiatu Latu","DE","IND","31","28","35","46","43","38","46","41","29","39","35","43","29","bye","35","39","25","36","618","36.4"
"Gervon Dexter Sr.","DT","CHI","42","43","49","42","32","42","bye","54","46","49","37","50","47","13","0","0","29","42","617","41.1"
"Dre'Mont Jones","DT","SEA","40","35","41","42","60","44","46","30","24","bye","33","34","34","41","25","26","32","30","617","36.3"
"Montez Sweat","DE","CHI","44","41","48","39","35","40","bye","37","0","29","36","48","39","32","48","41","25","34","616","38.5"
"Khalil Mack","LB","LAC","43","32","51","55","bye","44","46","50","33","4","0","28","57","47","36","41","27","22","616","38.5"
"Calais Campbell","DE","MIA","35","23","29","36","34","bye","37","43","50","33","37","35","29","43","31","37","48","35","615","36.2"
"K.J. Britt","LB","TB","39","41","35","51","81","70","59","60","46","41","bye","43","14","0","0","0","17","16","613","43.8"
"Jaylinn Hawkins","S","NE","24","29","31","49","78","29","18","32","67","49","23","36","26","bye","0","33","27","61","612","38.3"
"A.J. Epenesa","DE","BUF","38","50","27","24","47","35","53","34","24","41","34","bye","26","52","52","36","34","5","612","36.0"
"Tykee Smith","S","TB","40","57","41","45","86","42","14","0","72","0","bye","0","0","43","43","44","41","44","612","47.1"
"Rakeem Nunez-Roches","DT","NYG","34","52","44","36","30","41","47","40","47","44","bye","47","34","0","0","34","45","35","610","40.7"
"Shy Tuttle","DT","CAR","38","40","0","0","33","41","43","45","43","34","bye","40","51","40","45","32","39","46","610","40.7"
"Dalvin Tomlinson","DT","CLE","24","24","42","35","40","38","29","44","26","bye","41","50","50","53","50","34","30","0","610","38.1"
"John Jenkins","DT","LV","34","21","47","24","38","42","34","45","49","bye","35","38","43","37","40","22","9","51","609","35.8"
"Boye Mafe","DE","SEA","60","50","40","0","0","23","36","46","52","bye","44","43","53","37","22","30","44","28","608","40.5"
"Alex Anzalone","LB","DET","78","40","0","90","bye","51","60","72","65","68","20","0","0","0","0","0","0","64","608","60.8"
"Leonard Floyd","LB","SF","34","32","29","41","36","51","43","46","bye","41","38","44","32","28","39","30","13","29","606","35.6"
"Poona Ford","DT","LAC","32","19","47","37","bye","28","35","42","40","30","44","34","46","38","35","45","22","30","604","35.5"
"Jordan Hicks","LB","CLE","45","53","62","5","0","0","33","0","0","bye","60","62","63","65","69","56","31","0","604","50.3"
"Ed Oliver","DT","BUF","50","46","44","41","0","0","41","38","44","41","39","bye","34","53","51","53","28","0","603","43.1"
"Zaven Collins","LB","ARI","43","23","37","34","32","35","40","33","40","36","bye","35","30","32","25","51","36","40","602","35.4"
"Travis Jones","DT","BAL","33","40","51","41","45","42","25","15","0","56","37","34","35","bye","36","43","31","36","600","37.5"
"Cam Lewis","CB","BUF","55","70","56","41","68","3","22","22","12","20","10","bye","11","13","79","72","28","13","595","35.0"
"Kayvon Thibodeaux","DE","NYG","41","56","52","46","47","0","0","0","0","0","bye","41","63","56","52","44","60","36","594","49.5"
"L.J. Collier","LB","ARI","22","20","33","42","38","49","33","39","34","27","bye","43","32","36","28","39","35","40","590","34.7"
"Eric Stokes","CB","GB","67","24","53","66","55","16","8","21","37","bye","4","26","36","42","59","35","34","5","588","34.6"
"Marcus Jones","CB","NE","41","56","46","30","28","30","35","62","48","39","44","68","24","bye","35","0","0","0","586","41.9"
"Trevin Wallace","LB","CAR","0","0","11","25","75","70","69","65","69","52","bye","46","63","38","0","0","0","0","583","53.0"
"Mohamoud Diabate","LB","CLE","6","0","0","0","0","46","22","59","52","bye","48","56","49","54","44","39","42","64","581","44.7"
"DeForest Buckner","DT","IND","54","10","0","0","0","0","0","43","55","59","41","54","56","bye","48","48","50","60","578","48.2"
"Isaiah Oliver","CB","NYJ","4","25","10","3","44","37","52","66","71","18","30","bye","21","22","48","40","39","48","578","34.0"
"Morgan Fox","DE","LAC","29","22","38","33","bye","34","34","43","37","33","46","36","37","34","33","32","30","26","577","33.9"
"Joseph Ossai","DE","CIN","13","35","29","40","31","40","30","17","27","27","29","bye","37","30","41","51","50","49","576","33.9"
"Jordan Fuller","S","CAR","60","69","34","0","0","0","0","0","0","75","bye","74","80","58","73","0","0","52","575","63.9"
"Greg Newsome II","CB","CLE","43","58","47","41","60","60","41","54","39","bye","25","29","42","36","0","0","0","0","575","44.2"
"Jonathan Bullard","DT","MIN","28","37","23","35","36","bye","46","51","30","22","25","31","40","29","32","36","26","47","574","33.8"
"Chamarri Conner","S","KC","46","29","50","31","36","bye","33","27","41","47","53","44","50","45","22","0","0","19","573","38.2"
"Azeez Al-Shaair","LB","HOU","45","70","62","58","61","31","0","0","0","61","74","67","19","bye","0","0","0","25","573","52.1"
"Anthony Nelson","DE","TB","28","25","25","23","43","21","36","26","33","33","bye","37","55","46","35","34","31","42","573","33.7"
"Arik Armstead","DT","JAC","31","34","28","41","34","31","31","23","37","38","33","bye","30","33","22","31","40","52","569","33.5"
"Nathan Shepherd","DT","NO","24","36","49","27","41","42","40","39","36","39","30","bye","28","34","33","0","41","29","568","35.5"
"David Onyemata","DT","ATL","43","38","47","52","34","30","28","29","34","25","32","bye","25","35","29","20","34","32","567","33.4"
"Jerome Baker","LB","Multi","68","21","0","0","72","64","66","0","0","0","61","56","75","0","0","0","55","28","566","56.6"
"Max Melton","CB","ARI","11","25","13","21","32","48","52","65","72","36","bye","28","26","31","16","22","55","12","565","33.2"
"Chop Robinson","DE","MIA","16","24","29","22","40","bye","38","35","33","42","28","35","31","37","28","34","52","41","565","33.2"
"Cameron Jordan","DE","NO","27","34","20","19","45","40","34","19","10","42","49","bye","32","42","39","34","41","38","565","33.2"
"Da'Shawn Hand","DT","MIA","19","24","32","37","30","bye","37","55","57","38","29","32","19","38","19","31","36","30","563","33.1"
"Will Anderson Jr.","DE","HOU","36","50","48","45","45","33","42","50","8","0","0","34","44","bye","47","49","30","0","561","40.1"
"Decamerion Richardson","CB","LV","0","0","0","0","0","0","9","1","28","bye","66","68","71","62","58","65","60","71","559","50.8"
"Kendall Fuller","CB","MIA","53","41","16","0","55","bye","62","66","65","37","0","0","0","67","50","44","0","0","556","50.5"
"Nate Hobbs","CB","LV","57","65","57","55","47","62","48","65","20","bye","0","0","0","0","32","0","48","0","556","50.5"
"Brandon Stephens","CB","BAL","54","61","80","54","0","59","0","69","0","81","0","54","41","bye","0","0","0","0","553","61.4"
"Dexter Lawrence II","DT","NYG","37","59","53","46","44","45","39","48","51","45","bye","45","40","0","0","0","0","0","552","46.0"
"Jordan Howden","S","NO","47","22","12","30","10","77","65","66","53","11","29","bye","23","29","16","6","29","27","552","32.5"
"Tyrice Knight","LB","SEA","0","44","35","39","0","0","7","0","0","bye","51","47","53","58","63","51","45","58","551","45.9"
"Rayshawn Jenkins","S","SEA","69","68","61","53","72","65","0","0","0","bye","0","29","27","25","12","30","16","23","550","42.3"
"Josh Paschal","DE","DET","22","13","18","53","bye","41","52","0","0","61","42","49","7","0","57","45","43","46","549","39.2"
"Beanie Bishop Jr.","CB","PIT","33","39","25","46","57","47","47","60","bye","33","29","21","6","58","24","17","0","6","548","34.3"
"Carrington Valentine","CB","GB","9","32","0","0","41","0","0","12","35","bye","64","30","35","46","58","51","72","62","547","42.1"
"Nolan Smith Jr.","DE","PHI","31","23","21","31","bye","21","26","30","22","22","33","39","58","52","41","56","40","0","546","34.1"
"DaQuan Jones","DT","BUF","45","35","31","36","35","45","35","27","36","29","31","bye","24","44","42","29","22","0","546","34.1"
"Bud Dupree","LB","LAC","30","31","41","31","bye","36","29","41","54","37","53","20","22","22","27","18","28","26","546","32.1"
"Arnold Ebiketie","DE","ATL","22","25","30","37","15","39","30","40","54","35","42","bye","19","20","36","32","39","28","543","31.9"
"Calijah Kancey","DT","TB","0","0","0","0","0","44","43","35","58","43","bye","32","59","44","42","57","29","55","541","45.1"
"Joe Tryon-Shoyinka","LB","TB","28","60","43","34","50","38","39","39","54","40","bye","8","0","0","26","30","24","26","539","35.9"
"Logan Hall","DT","TB","0","30","46","36","58","39","27","32","30","34","bye","23","36","38","29","29","22","30","539","33.7"
"Akeem Davis-Gaither","LB","CIN","14","16","11","10","19","12","18","5","17","16","20","bye","68","53","69","65","60","61","534","31.4"
"Dante Stills","DT","ARI","25","0","30","39","27","39","36","36","40","38","bye","35","31","35","24","34","27","38","534","33.4"
"John Franklin-Myers","DE","DEN","34","9","23","34","36","37","28","28","24","37","30","47","48","bye","24","25","52","17","533","31.4"
"Antoine Winfield Jr.","S","TB","59","0","0","0","0","56","59","62","84","64","bye","59","70","16","0","0","0","0","529","58.8"
"Shelby Harris","DE","CLE","37","25","44","35","44","38","29","41","26","bye","38","46","48","53","25","0","0","0","529","37.8"
"Marshon Lattimore","CB","Multi","32","0","72","56","84","77","48","43","0","0","0","0","0","0","53","63","0","0","528","58.7"
"Ugo Amadi","S","NO","0","7","0","0","0","0","0","19","38","78","66","bye","53","78","62","42","37","47","527","47.9"
"Mazi Smith","DT","DAL","23","33","46","26","28","32","bye","38","28","31","43","34","23","32","18","27","38","26","526","30.9"
"Alex Highsmith","LB","PIT","49","49","25","0","0","0","42","64","bye","51","0","0","0","42","50","44","52","57","525","47.7"
"Tyree Wilson","DE","LV","6","0","34","42","34","23","30","34","38","bye","23","30","34","27","42","50","40","38","525","32.8"
"Sam Hubbard","DE","CIN","50","48","44","56","51","39","45","36","28","31","30","bye","34","21","10","0","0","0","523","37.4"
"Marist Liufau","LB","DAL","9","39","29","27","24","28","bye","34","5","16","23","17","8","23","48","72","62","57","521","30.6"
"Jer'Zhan Newton","DT","WAS","0","12","21","22","25","37","23","35","43","42","45","39","26","bye","31","41","30","43","515","32.2"
"Kamren Kinchens","S","LAR","5","9","29","38","0","bye","2","14","41","39","41","37","30","47","28","50","49","55","514","32.1"
"Christian Elliss","DE","NE","0","4","2","14","26","23","42","52","45","0","36","37","42","bye","37","38","49","66","513","34.2"
"Kingsley Enagbare","DE","GB","30","31","22","23","28","27","36","24","22","bye","41","19","43","42","22","25","41","35","511","30.1"
"DJ Reader","DT","DET","0","25","25","37","bye","23","32","39","32","39","28","33","37","0","49","31","45","33","508","33.9"
"K'Lavon Chaisson","DE","LV","0","2","0","41","21","24","22","37","40","bye","19","23","25","28","57","62","48","59","508","33.9"
"Otito Ogbonnia","DT","LAC","27","23","30","41","bye","22","35","30","36","23","30","41","35","35","41","18","16","22","505","29.7"
"Josh Newton","CB","CIN","0","0","0","11","11","5","6","6","13","19","51","bye","69","60","68","65","60","60","504","36.0"
"Milton Williams","DT","PHI","28","25","37","30","bye","26","27","28","22","27","22","24","41","46","31","43","29","15","501","29.5"
"Devin Bush Jr.","LB","CLE","6","3","22","51","62","34","8","34","46","bye","43","39","33","30","29","23","34","0","497","31.1"
"Kris Jenkins Jr.","DT","CIN","0","0","25","22","45","39","32","34","32","21","38","bye","47","33","42","31","23","33","497","33.1"
"Mike Danna","DE","KC","45","45","44","0","41","bye","0","0","0","34","45","42","42","38","38","36","40","6","496","38.2"
"Larry Ogunjobi","DT","PIT","34","34","32","46","15","33","32","48","bye","39","39","40","33","9","0","0","20","40","494","32.9"
"Nazeeh Johnson","S","KC","0","22","26","17","20","bye","21","18","0","52","73","58","13","14","37","26","34","63","494","32.9"
"Ahkello Witherspoon","CB","LAR","0","0","0","9","48","bye","47","9","67","13","44","38","0","6","54","69","77","13","494","38.0"
"Payton Wilson","LB","PIT","24","22","20","37","44","27","31","30","bye","13","21","31","35","35","30","22","29","41","492","28.9"
"Edgerrin Cooper","LB","GB","11","7","18","21","30","38","41","34","38","bye","51","0","0","0","34","39","71","58","491","35.1"
"Malcolm Roach","DT","DEN","30","40","23","24","27","31","26","26","27","22","23","49","26","bye","39","32","28","16","489","28.8"
"Sebastian Joseph-Day","DT","TEN","19","19","21","49","bye","22","24","29","43","32","33","16","37","29","21","37","25","30","486","28.6"
"Isaac Yiadom","CB","SF","39","34","48","16","27","77","5","9","bye","47","49","59","11","9","8","0","48","0","486","32.4"
"Tavius Robinson","DE","BAL","14","18","28","21","24","14","24","32","32","19","41","42","52","bye","38","29","28","30","486","28.6"
"Marte Mapu","LB","NE","0","0","0","0","78","58","60","62","59","24","0","32","0","bye","0","43","59","11","486","48.6"
"Ventrell Miller","LB","JAC","10","13","28","63","41","46","35","42","45","50","37","bye","29","18","15","10","0","0","482","32.1"
"Benito Jones","DT","MIA","8","16","24","32","18","bye","27","44","35","20","32","28","34","36","26","33","34","34","481","28.3"
"Elandon Roberts","LB","PIT","23","21","21","21","21","27","16","24","bye","43","31","24","21","28","49","47","33","28","478","28.1"
"Jonah Laulu","DT","LV","0","2","11","0","19","24","27","15","27","bye","33","37","37","39","53","44","45","62","475","31.7"
"Evan Williams","S","GB","0","20","4","10","78","38","64","18","0","bye","71","36","52","27","56","0","0","0","474","39.5"
"Charles Harris","DE","Multi","0","34","45","40","60","53","48","45","62","0","0","33","0","4","0","7","0","41","472","39.3"
"Cam Bynum","S","MIN","68","57","0","70","0","bye","0","0","44","40","0","70","0","0","62","0","59","0","470","58.8"
"Preston Smith","LB","Multi","54","28","33","44","39","30","28","31","21","23","17","17","25","19","28","13","0","19","469","27.6"
"Isaiah McGuire","DT","CLE","0","19","20","14","32","24","19","18","26","bye","29","33","32","32","41","39","54","37","469","29.3"
"Roy Lopez","DT","ARI","23","22","41","51","36","38","20","0","19","26","bye","31","29","29","24","28","24","26","467","29.2"
"Jihad Ward","DT","MIN","29","17","37","31","28","bye","7","11","23","18","28","25","39","31","36","51","28","28","467","27.5"
"Jerry Tillery","DT","MIN","39","38","30","31","28","bye","34","26","36","21","18","21","35","19","20","22","22","27","467","27.5"
"Mario Edwards Jr.","DE","HOU","31","38","36","31","35","42","0","0","0","0","45","37","42","bye","34","41","31","22","465","35.8"
"D.J. Jones","DT","DEN","37","30","23","30","22","38","23","23","24","27","20","36","27","bye","24","27","43","11","465","27.4"
"Jeremiah Owusu-Koramoah","LB","CLE","63","59","71","58","56","62","52","42","0","bye","0","0","0","0","0","0","0","0","463","57.9"
"Ronnie Hickman Jr.","S","CLE","11","42","49","59","13","0","0","0","7","bye","28","22","45","34","45","30","39","39","463","33.1"
"Jordan Battle","S","CIN","0","1","0","1","8","14","19","3","31","30","27","bye","52","52","63","64","53","45","463","30.9"
"Jimmie Ward","DB","HOU","45","70","63","0","12","0","0","0","0","43","42","37","57","bye","66","26","0","0","461","46.1"
"Jakorian Bennett","CB","LV","30","46","69","56","62","32","44","66","54","bye","2","0","0","0","0","0","0","0","461","46.1"
"Khalen Saunders","DT","NO","0","0","0","22","36","41","0","36","33","36","33","bye","28","32","41","44","44","35","461","35.5"
"Dane Belton","S","NYG","9","8","17","0","27","4","21","1","0","60","bye","2","15","39","59","60","77","60","459","30.6"
"Patrick Jones II","DE","MIN","34","34","33","43","41","bye","26","44","18","10","44","29","49","0","20","26","8","0","459","30.6"
"Daryl Worley","CB","TEN","0","0","0","0","bye","0","0","0","0","0","23","53","82","59","66","60","56","60","459","57.4"
"Solomon Thomas","DE","NYJ","38","29","26","25","29","23","24","31","22","0","19","bye","22","26","37","35","29","43","458","28.6"
"Cam Hart","CB","LAC","0","4","0","0","bye","55","54","72","70","50","42","0","0","27","13","0","30","41","458","41.6"
"Jalen Mills","S","NYJ","0","0","0","0","0","9","65","67","79","59","70","bye","45","49","15","0","0","0","458","50.9"
"Jeremiah Pharms Jr.","DT","NE","11","24","35","28","21","16","0","33","23","35","31","20","20","bye","25","35","60","40","457","28.6"
"Byron Murphy II","DT","SEA","40","38","12","0","0","0","34","50","42","bye","32","24","36","38","41","35","32","3","457","32.6"
"Joey Bosa","DE","LAC","40","14","2","0","bye","0","0","20","19","20","55","38","59","42","43","50","30","24","456","32.6"
"D.J. Wonnum","DE","CAR","0","0","0","0","0","0","0","0","0","50","bye","57","62","43","60","63","49","70","454","56.8"
"Sam Okuayinonu","DE","SF","14","0","6","19","24","32","36","29","bye","36","34","45","34","39","19","21","28","34","450","28.1"
"Broderick Washington Jr.","DT","BAL","18","23","31","26","28","0","0","41","43","29","52","35","32","bye","29","21","23","18","449","29.9"
"DJ Turner II","CB","CIN","3","7","1","51","68","78","79","60","0","54","46","bye","0","0","0","0","0","0","447","40.6"
"Leo Chenal","LB","KC","48","32","14","31","20","bye","38","26","18","20","31","20","21","23","12","21","29","41","445","26.2"
"Josh Jobe","CB","SEA","0","0","0","0","0","0","65","51","49","bye","33","35","52","47","37","39","35","0","443","44.3"
"Karl Brooks","DT","GB","20","23","26","27","46","29","22","23","15","bye","29","20","26","25","27","29","30","25","442","26.0"
"Jordan Elliott","DT","SF","15","20","22","14","28","0","44","33","bye","32","31","26","0","26","39","32","39","40","441","29.4"
"Jeremiah Ledbetter","DT","JAC","0","36","30","22","22","0","23","40","40","38","44","bye","24","18","23","33","26","22","441","29.4"
"Paulson Adebo","CB","NO","54","67","72","56","84","77","28","0","0","0","0","bye","0","0","0","0","0","0","438","62.6"
"DaRon Bland","CB","DAL","0","0","0","0","0","0","bye","0","0","0","0","58","58","71","55","72","64","58","436","62.3"
"Darius Muasau","LB","NYG","45","0","3","0","5","2","12","14","0","0","bye","18","14","52","59","66","77","68","435","33.5"
"Jonah Elliss","LB","DEN","21","24","24","21","36","31","27","29","24","29","22","24","31","bye","28","22","24","17","434","25.5"
"Jonathan Owens","S","CHI","0","0","0","0","9","3","bye","0","0","0","7","71","69","61","42","50","52","65","429","42.9"
"Lukas Van Ness","DE","GB","19","20","22","24","42","26","35","21","24","bye","25","18","22","35","25","18","25","27","428","25.2"
"Adoree' Jackson","CB","NYG","19","14","17","0","27","10","0","0","6","15","bye","8","76","68","45","52","43","27","427","30.5"
"Elijah Chatman","DT","NYG","24","16","21","15","24","13","24","12","8","5","bye","4","48","56","47","32","47","27","423","24.9"
"Quandre Diggs","S","TEN","56","57","61","60","bye","69","55","48","13","0","0","0","0","0","0","0","0","0","419","52.4"
"Omar Speights","LB","LAR","0","0","0","0","0","bye","0","22","5","39","42","56","45","36","36","38","56","44","419","38.1"
"Nick Herbig","LB","PIT","17","17","19","48","41","0","0","0","bye","0","50","44","52","31","32","19","23","22","415","31.9"
"Ivan Pace Jr.","LB","MIN","39","48","0","0","26","bye","57","72","52","26","38","5","0","0","0","0","21","30","414","37.6"
"Joshua Williams","CB","KC","32","6","0","0","0","bye","12","39","55","6","0","0","53","38","44","34","41","51","411","34.3"
"Lorenzo Carter","LB","ATL","37","36","41","37","33","20","0","0","0","0","25","bye","25","38","29","18","36","34","409","31.5"
"Deatrich Wise Jr.","DE","NE","23","27","30","44","36","40","24","30","28","28","0","0","10","bye","16","25","31","16","408","27.2"
"Clark Phillips III","CB","ATL","11","23","21","21","10","22","10","16","4","40","62","bye","46","42","0","14","1","64","407","25.4"
"Brandin Echols","CB","NYJ","9","66","0","0","15","23","65","0","17","0","0","bye","2","72","0","29","41","68","407","37.0"
"Charles Snowden","LB","LV","30","27","26","29","29","33","11","18","11","bye","46","12","15","23","0","37","23","36","406","25.4"
"Marcus Maye","S","Multi","3","4","19","30","60","0","62","49","66","0","0","0","21","61","27","3","0","0","405","33.8"
"Tre'Davious White","CB","Multi","61","60","71","60","0","0","0","0","0","0","24","36","20","0","24","13","21","14","404","36.7"
"Juan Thornhill","S","CLE","60","0","0","0","0","0","27","53","44","bye","23","33","0","20","36","30","37","38","401","36.5"
"Carl Lawson","DE","DAL","0","0","8","22","30","24","bye","36","36","43","15","33","33","25","24","33","16","23","401","26.7"
"Demani Richardson","S","CAR","0","0","0","0","0","0","0","73","79","0","bye","0","0","15","12","70","77","75","401","57.3"
"Percy Butler","S","WAS","25","21","29","16","22","49","25","22","20","33","20","8","21","bye","8","11","13","56","399","23.5"
"Roy Robertson-Harris","DT","Multi","42","49","27","34","32","26","27","29","26","0","19","17","13","12","15","6","4","20","398","23.4"
"Dee Winters","LB","SF","0","0","6","7","26","12","39","11","bye","15","10","22","42","27","6","51","62","62","398","26.5"
"Greg Gaines","DT","TB","36","66","46","25","33","21","20","0","0","22","bye","24","15","23","17","14","15","18","395","26.3"
"DJ Johnson","LB","CAR","34","38","15","33","34","63","26","5","0","17","bye","0","19","28","36","17","28","0","393","28.1"
"Haason Reddick","DE","NYJ","0","0","0","0","0","0","0","26","45","22","26","bye","43","53","60","29","40","49","393","39.3"
"Azeez Ojulari","LB","NYG","24","22","28","19","21","41","55","60","58","52","bye","12","0","0","0","0","0","0","392","35.6"
"Marcus Williams","S","BAL","54","63","80","54","0","59","0","0","0","81","0","0","0","bye","0","0","0","0","391","65.2"
"Derek Barnett","DE","HOU","18","33","25","16","0","33","10","15","27","24","38","29","25","bye","14","19","30","34","390","24.4"
"Johnathan Hankins","DT","SEA","17","27","33","41","41","41","17","28","25","bye","17","12","10","17","22","12","7","23","390","22.9"
"Moro Ojomo","DT","PHI","14","17","16","37","bye","21","22","25","16","27","20","23","20","21","11","21","33","44","388","22.8"
"Jordan Davis","DT","PHI","35","29","29","37","bye","21","12","22","21","21","26","15","24","25","18","17","15","21","388","22.8"
"Mike Brown","S","TEN","0","0","0","0","bye","1","1","0","56","58","49","56","24","1","2","22","56","60","386","32.2"
"Maason Smith","DT","JAC","29","0","25","33","19","30","0","0","0","0","0","bye","39","39","29","39","46","56","384","34.9"
"Baron Browning","LB","Multi","46","12","0","0","0","0","31","33","24","18","0","34","22","31","30","29","30","39","379","29.2"
"Darrell Taylor","DE","CHI","38","27","15","27","30","27","bye","36","24","0","6","20","20","20","21","20","22","22","375","23.4"
"Chidobe Awuzie","CB","TEN","41","53","16","0","bye","0","0","0","0","0","0","0","0","43","68","57","35","60","373","46.6"
"Malik Harrison","LB","BAL","15","8","6","8","13","0","0","6","30","4","37","50","38","bye","54","36","27","40","372","24.8"
"Jabrill Peppers","S","NE","51","70","57","63","0","0","0","0","0","0","0","0","62","bye","69","0","0","0","372","62.0"
"Troy Reeder","LB","LAR","61","65","69","56","51","bye","70","0","0","0","0","0","0","0","0","0","0","0","372","62.0"
"Cameron Mitchell","CB","CLE","10","41","5","10","22","16","7","31","11","bye","7","1","16","0","66","36","35","58","372","23.3"
"Clelin Ferrell","DE","WAS","35","37","0","0","0","36","20","36","31","28","31","33","16","bye","6","24","12","24","369","26.4"
"Yetur Gross-Matos","DE","SF","0","26","20","35","0","0","0","0","bye","0","37","46","35","27","31","35","38","38","368","33.5"
"Chris Williams","DT","CHI","15","15","13","23","24","19","bye","11","18","20","16","14","22","29","38","36","24","30","367","21.6"
"Devonte Wyatt","DT","GB","36","25","29","25","0","0","0","23","26","bye","35","17","28","26","27","22","12","31","362","25.9"
"Jaire Alexander","CB","GB","76","56","53","0","0","46","63","57","0","bye","10","0","0","0","0","0","0","0","361","51.6"
"Storm Duck","CB","MIA","8","4","25","60","5","bye","0","0","0","0","36","48","50","0","0","13","60","49","358","32.5"
"Cole Bishop","S","BUF","0","6","14","41","68","0","3","0","1","5","0","bye","0","0","47","73","63","37","358","32.5"
"Elijah Hicks","S","CHI","0","0","0","0","9","62","bye","74","58","64","39","0","0","0","35","15","0","0","356","44.5"
"Tyquan Lewis","DE","IND","52","44","65","36","0","0","0","0","0","0","0","25","23","bye","27","28","26","29","355","35.5"
"Myles Murphy","DE","CIN","0","0","0","0","34","32","34","23","20","14","23","bye","26","34","30","34","24","25","353","27.2"
"Ja'Sir Taylor","CB","LAC","46","41","22","0","bye","0","16","31","7","30","41","14","26","20","6","30","22","0","352","25.1"
"Raekwon Davis","DT","IND","18","30","38","32","23","24","25","19","22","17","11","21","21","bye","16","13","9","10","349","20.5"
"Teair Tart","DT","LAC","6","14","12","12","bye","14","19","20","29","16","25","26","32","26","29","27","22","19","348","20.5"
"Avonte Maddox","CB","PHI","60","55","29","69","bye","2","10","8","1","11","4","13","2","11","0","0","18","52","345","23.0"
"Jaylen Watson","CB","KC","77","61","57","56","53","bye","37","0","0","0","0","0","0","0","0","0","0","0","341","56.8"
"Neville Hewitt","LB","HOU","0","0","0","1","0","39","58","64","50","2","9","0","49","bye","2","7","29","31","341","28.4"
